10	3:25	19:19	29:1	41:0	57:1	112:2	188:3	222:10	460:0	472:0
10	4:25	20:19	30:1	42:0	58:1	113:2	189:3	223:10	461:0	473:0
10	5:25	21:19	31:1	43:0	59:1	114:2	190:3	224:10	462:0	474:0
10	6:25	22:19	32:1	44:0	48:2	115:2	191:3	225:10	463:0	475:0
10	7:25	23:19	33:1	45:0	49:2	116:2	180:4	226:10	464:0	476:0
10	8:25	12:20	34:1	46:0	50:2	117:2	181:4	227:10	465:0	477:0
10	9:25	13:20	35:1	47:0	51:2	118:2	182:4	216:11	466:0	478:0
10	10:25	14:20	24:2	36:1	52:2	119:2	183:4	217:11	467:0	479:0
10	7:21	18:7	26:0	41:10	53:9	114:0	127:8	268:22	468:0	480:0
10	8:21	19:7	27:0	42:10	54:9	115:0	128:8	269:22	469:0	481:0
10	9:21	20:7	28:0	43:10	55:9	116:0	129:8	270:22	470:0	482:0
10	10:21	21:7	29:0	44:10	56:9	117:0	130:8	271:22	471:0	483:0
10	11:21	22:7	30:0	45:10	57:9	118:0	131:8	272:22	472:0	484:0
10	0:22	23:7	31:0	46:10	58:9	119:0	120:9	273:22	473:0	485:0
10	1:22	12:8	32:0	47:10	59:9	108:1	121:9	274:22	474:0	486:0
10	2:22	13:8	33:0	36:11	48:10	109:1	122:9	275:22	475:0	487:0
10	3:22	14:8	34:0	37:11	49:10	110:1	123:9	264:23	476:0	488:0
10	4:22	15:8	35:0	38:11	50:10	111:1	124:9	265:23	477:0	489:0
10	5:22	16:8	24:1	39:11	51:10	112:1	125:9	266:23	478:0	490:0
10	6:22	17:8	25:1	40:11	52:10	113:1	126:9	267:23	479:0	491:0
10	5:2	12:2	30:7	43:0	49:4	105:7	123:15	249:0	492:0	504:0
10	6:2	13:2	31:7	44:0	50:4	106:7	124:15	250:0	493:0	505:0
10	7:2	14:2	32:7	45:0	51:4	107:7	125:15	251:0	494:0	506:0
10	8:2	15:2	33:7	46:0	52:4	96:8	126:15	240:1	495:0	507:0
10	9:2	16:2	34:7	47:0	53:4	97:8	127:15	241:1	496:0	508:0
10	10:2	17:2	35:7	36:1	54:4	98:8	128:15	242:1	497:0	509:0
10	11:2	18:2	24:8	37:1	55:4	99:8	129:15	243:1	498:0	510:0
10	0:3	19:2	25:8	38:1	56:4	100:8	130:15	244:1	499:0	511:0
10	1:3	20:2	26:8	39:1	57:4	101:8	131:15	245:1	500:0	512:0
10	2:3	21:2	27:8	40:1	58:4	102:8	120:16	246:1	501:0	513:0
10	3:3	22:2	28:8	41:1	59:4	103:8	121:16	247:1	502:0	514:0
10	4:3	23:2	29:8	42:1	48:5	104:8	122:16	248:1	503:0	515:0
10	9:1	14:0	24:19	47:21	53:2	86:2	134:20	253:2	504:0	516:0
10	10:1	15:0	25:19	36:22	54:2	87:2	135:20	254:2	505:0	517:0
10	11:1	16:0	26:19	37:22	55:2	88:2	136:20	255:2	506:0	518:0
10	0:2	17:0	27:19	38:22	56:2	89:2	137:20	256:2	507:0	519:0
10	1:2	18:0	28:19	39:22	57:2	90:2	138:20	257:2	508:0	520:0
10	2:2	19:0	29:19	40:22	58:2	91:2	139:20	258:2	509:0	521:0
10	3:2	20:0	30:19	41:22	59:2	92:2	140:20	259:2	510:0	522:0
10	4:2	21:0	31:19	42:22	48:3	93:2	141:20	260:2	511:0	523:0
10	5:2	22:0	32:19	43:22	49:3	94:2	142:20	261:2	512:0	524:0
10	6:2	23:0	33:19	44:22	50:3	95:2	143:20	262:2	513:0	525:0
10	7:2	12:1	34:19	45:22	51:3	84:3	132:21	263:2	514:0	526:0
10	8:2	13:1	35:19	46:22	52:3	85:3	133:21	252:3	515:0	527:0
10	0:13	18:22	30:0	46:22	54:0	102:17	163:22	276:29	516:0	528:0
10	1:13	19:22	31:0	47:22	55:0	103:17	164:22	277:29	517:0	529:0
10	2:13	20:22	32:0	36:23	56:0	104:17	165:22	278:29	518:0	530:0
10	3:13	21:22	33:0	37:23	57:0	105:17	166:22	279:29	519:0	531:0
10	4:13	22:22	34:0	38:23	58:0	106:17	167:22	280:29	520:0	532:0
10	5:13	23:22	35:0	39:23	59:0	107:17	156:23	281:29	521:0	533:0
10	6:13	12:23	24:1	40:23	48:1	96:18	157:23	282:29	522:0	534:0
10	7:13	13:23	25:1	41:23	49:1	97:18	158:23	283:29	523:0	535:0
10	8:13	14:23	26:1	42:23	50:1	98:18	159:23	284:29	524:0	536:0
10	9:13	15:23	27:1	43:23	51:1	99:18	160:23	285:29	525:0	537:0
10	10:13	16:23	28:1	44:23	52:1	100:18	161:23	286:29	526:0	538:0
10	11:13	17:23	29:1	45:23	53:1	101:18	162:23	287:29	527:0	539:0
