11	35:3	60:12	113:20	154:16	199:4	249:12	439:7	882:0	1017:16	1911:0	1923:0
11	34:15	75:6	86:1	137:0	223:4	238:3	450:15	997:2	1277:20	1599:0	1611:0
11	33:0	81:13	118:0	139:2	217:18	266:9	623:12	994:26	1164:28	1306:0	1318:0
11	36:5	55:2	129:9	165:5	191:18	328:3	462:7	981:6	1074:0	2128:0	2140:0
11	5:24	73:24	90:9	173:9	195:26	347:23	543:28	818:1	1177:9	2063:0	2075:0
11	32:2	62:2	91:8	149:17	182:0	277:17	643:2	852:1	1032:0	1440:0	1452:0
11	17:22	58:18	130:6	137:2	199:8	281:7	435:11	956:16	1195:24	1554:0	1566:0
11	35:29	71:3	92:2	171:29	205:1	390:17	647:0	839:2	1240:2	1391:0	1403:0
11	45:2	65:26	108:9	170:15	202:22	422:5	500:1	772:5	1204:23	1732:0	1744:0
11	8:0	95:28	114:17	149:2	225:12	290:15	668:8	796:3	1208:14	1785:0	1797:0
11	22:12	61:19	104:3	133:4	215:2	258:2	561:9	884:20	1192:29	1486:0	1498:0
11	32:0	80:13	117:0	138:2	216:18	265:9	622:12	993:26	1175:27	1305:0	1317:0
11	25:18	87:7	124:20	148:14	195:15	308:16	693:3	981:10	1090:25	2142:0	2154:0
11	46:10	79:2	140:1	173:22	212:9	323:19	704:6	991:29	1272:2	1801:0	1813:0
11	15:0	62:0	107:25	170:14	206:19	218:23	671:24	888:5	1202:2	1622:0	1634:0
11	6:11	40:2	98:11	178:1	216:3	236:0	462:22	786:12	1249:5	1561:0	1573:0
11	0:15	75:18	134:18	150:0	226:0	383:28	537:1	816:11	1260:19	1434:0	1446:0
11	26:26	61:1	128:5	141:0	205:22	431:0	612:23	945:0	1233:4	1869:0	1881:0
11	11:3	80:25	101:0	185:7	211:7	412:8	634:19	935:23	1057:26	1396:0	1408:0
11	41:19	77:24	113:0	156:20	212:4	420:14	624:1	910:1	1095:0	1717:0	1729:0
11	21:21	58:22	90:1	152:14	195:0	307:27	639:0	743:4	1027:20	1706:0	1718:0
11	34:6	71:2	128:21	138:0	187:0	351:20	450:0	763:0	1267:2	1986:0	1998:0
11	16:0	63:0	96:26	171:14	207:19	219:23	660:25	889:5	1203:2	1623:0	1635:0
11	46:10	52:29	105:0	158:1	191:5	386:6	472:22	931:16	1221:0	2085:0	2097:0
11	40:8	90:8	118:8	172:18	182:0	347:3	519:20	1001:11	1148:6	1502:0	1514:0
11	19:21	49:1	111:3	165:16	199:1	354:29	534:4	912:1	1185:3	2016:0	2028:0
11	29:23	81:0	130:4	160:10	193:13	398:14	543:28	830:5	1059:3	1472:0	1484:0
11	21:9	75:22	114:0	141:3	205:24	308:6	472:27	930:0	1104:15	2093:0	2105:0
11	10:14	50:7	91:1	155:0	227:1	272:12	678:24	913:3	1075:2	1907:0	1919:0
11	22:0	69:0	102:26	177:14	213:19	225:23	666:25	895:5	1209:2	1629:0	1641:0
11	8:7	40:14	101:0	147:1	209:0	355:1	491:8	845:19	1179:0	1659:0	1671:0
11	1:14	60:1	100:13	172:14	212:0	369:0	632:10	723:19	1026:4	1592:0	1604:0
11	42:8	92:8	108:9	174:18	184:0	337:4	521:20	1003:11	1150:6	1504:0	1516:0
11	34:11	67:4	120:14	169:1	188:3	437:20	678:13	753:19	1215:1	1751:0	1763:0
