8	7:54	27:54	44:16	116:2	149:101	237:77	478:0	481:0
8	8:54	28:54	42:17	114:3	147:102	238:77	479:0	482:0
8	16:30	20:77	89:105	222:26	229:96	267:114	480:0	483:0
8	17:30	18:78	87:106	223:26	230:96	268:114	481:0	484:0
8	15:31	19:78	88:106	224:26	228:97	269:114	482:0	485:0
8	11:70	27:20	69:25	202:8	237:30	263:1	483:0	486:0
8	9:71	28:20	70:25	203:8	238:30	261:2	484:0	487:0
8	10:71	29:20	71:25	201:9	239:30	262:2	485:0	488:0
8	6:30	21:45	34:51	102:20	152:105	236:72	486:0	489:0
8	7:30	22:45	35:51	103:20	150:106	234:73	487:0	490:0
8	8:30	23:45	33:52	104:20	151:106	235:73	488:0	491:0
8	9:59	16:98	99:49	204:87	228:9	253:22	489:0	492:0
8	10:59	17:98	100:49	205:87	229:9	254:22	490:0	493:0
8	11:59	15:99	101:49	206:87	230:9	252:23	491:0	494:0
8	1:23	25:47	29:57	64:100	195:80	250:80	492:0	495:0
8	2:23	26:47	27:58	65:100	196:80	251:80	493:0	496:0
8	0:24	24:48	28:58	63:101	197:80	249:81	494:0	497:0
8	7:65	12:84	84:114	145:2	235:113	248:13	495:0	498:0
8	8:65	13:84	85:114	146:2	236:113	246:14	496:0	499:0
8	6:66	14:84	86:114	144:3	234:114	247:14	497:0	500:0
8	3:82	22:55	53:70	215:77	229:95	240:107	498:0	501:0
8	4:82	23:55	51:71	213:78	230:95	241:107	499:0	502:0
8	5:82	21:56	52:71	214:78	228:96	242:107	500:0	503:0
8	2:117	20:61	75:48	172:4	227:87	253:57	501:0	504:0
8	0:118	18:62	76:48	173:4	225:88	254:57	502:0	505:0
8	1:118	19:62	77:48	171:5	226:88	252:58	503:0	506:0
8	2:1	14:98	140:22	164:71	234:61	239:54	504:0	507:0
8	0:2	12:99	138:23	162:72	235:61	237:55	505:0	508:0
8	1:2	13:99	139:23	163:72	236:61	238:55	506:0	509:0
8	6:72	24:60	92:92	223:111	227:61	250:20	507:0	510:0
8	7:72	25:60	90:93	224:111	225:62	251:20	508:0	511:0
8	8:72	26:60	91:93	222:112	226:62	249:21	509:0	512:0
