10	13:1	32:1	50:4	87:0	105:2	197:4	263:7	497:0	992:0	1016:0
10	6:13	34:10	56:1	92:0	108:1	235:1	371:2	453:5	931:0	955:0
10	7:5	47:3	66:9	86:1	115:13	153:1	388:9	455:0	757:0	781:0
10	0:14	39:11	61:3	89:1	116:13	218:3	275:4	470:1	628:0	652:0
10	20:7	33:1	53:3	80:0	114:0	133:0	405:5	477:11	673:0	697:0
10	3:11	30:0	57:4	94:1	107:13	227:9	366:9	483:0	650:0	674:0
10	9:13	37:10	59:1	95:0	111:1	238:1	374:2	432:6	934:0	958:0
10	4:8	41:1	61:3	88:0	98:1	141:0	389:6	461:12	681:0	705:0
10	6:14	28:6	60:9	83:8	114:14	149:0	349:11	426:11	794:0	818:0
10	3:1	32:0	66:9	77:11	107:1	176:1	272:10	511:1	1014:0	1038:0
10	19:0	33:0	64:2	94:13	102:0	178:5	377:9	553:13	721:0	745:0
10	1:6	35:0	48:1	93:1	109:9	146:5	330:0	506:11	583:0	1062:0
10	0:4	28:4	51:2	90:3	113:12	120:7	293:11	564:0	775:0	799:0
10	20:5	45:1	53:4	77:10	111:6	136:7	342:10	542:9	594:0	618:0
10	7:14	41:3	58:4	81:8	101:13	185:8	307:4	529:5	697:0	721:0
10	2:6	36:0	49:1	94:1	110:9	147:5	331:0	507:11	584:0	1063:0
10	14:5	39:1	71:3	95:9	105:6	130:7	336:10	536:9	588:0	612:0
10	16:1	45:0	55:10	90:11	96:2	189:1	285:10	524:1	1027:0	1051:0
10	6:11	29:4	61:0	88:5	100:5	233:0	258:4	543:11	947:0	971:0
10	3:0	37:4	54:5	77:9	97:14	181:9	303:5	549:5	717:0	741:0
10	18:11	41:4	49:1	76:6	112:5	221:1	246:5	531:12	959:0	983:0
10	9:1	28:1	70:3	83:0	101:2	193:4	259:7	493:0	988:0	1012:0
10	20:1	25:1	59:10	94:11	100:2	169:2	265:11	504:2	1031:0	1055:0
10	0:11	47:3	55:0	82:5	118:4	227:0	252:4	537:11	941:0	965:0
10	23:0	37:0	68:2	74:14	106:0	182:5	381:9	557:13	725:0	749:0
10	21:10	35:11	64:5	79:12	115:12	150:3	335:0	424:1	844:0	868:0
10	12:4	40:4	63:2	78:4	101:13	132:7	305:11	552:1	787:0	811:0
10	5:11	28:4	60:0	87:5	99:5	232:0	257:4	542:11	946:0	970:0
10	17:8	30:2	50:4	77:1	111:1	130:1	402:6	474:12	694:0	718:0
10	23:11	43:1	70:3	76:4	98:1	209:5	301:4	460:1	621:0	645:0
10	14:0	29:1	68:1	85:11	100:1	187:1	255:0	420:3	831:0	855:0
10	15:11	42:0	69:4	82:2	119:13	239:9	378:9	495:0	662:0	686:0
10	9:7	47:5	53:7	72:11	113:0	138:0	273:1	436:2	905:0	929:0
10	20:10	43:3	51:0	78:5	114:4	223:0	248:4	533:11	937:0	961:0
